                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.07879,                0.89165,                      1,                0.41979,               0.070054,              0.0033273,              0.0033273
                      1,                0.04422,                 0.9482,                      1,                0.36477,               0.039922,              0.0065287,              0.0065287
                      2,                0.02424,                0.93393,                      1,                0.37217,              0.0096586,              0.0095982,              0.0095982
                      3,                0.01924,                0.97727,                      1,                0.33387,               0.009406,               0.009406,               0.009406
                      4,                0.01404,                0.98679,                      1,                0.32785,               0.009406,               0.009406,               0.009406
                      5,                 0.0096,                 0.9815,                      1,                 0.3304,               0.009208,               0.009208,               0.009208
                      6,                0.00729,                0.98414,                      1,                0.32548,                0.00901,                0.00901,                0.00901
                      7,                0.00735,                 0.9852,                      1,                 0.3243,               0.008812,               0.008812,               0.008812
                      8,                0.00479,                0.98573,                      1,                0.32395,               0.008614,               0.008614,               0.008614
                      9,                0.00404,                0.98679,                      1,                0.32093,               0.008416,               0.008416,               0.008416
                     10,                0.00258,                 0.9926,                      1,                0.31695,               0.008218,               0.008218,               0.008218
                     11,                0.00139,                0.99049,                      1,                0.31776,                0.00802,                0.00802,                0.00802
                     12,                0.00129,                 0.9889,                      1,                0.32037,               0.007822,               0.007822,               0.007822
                     13,                0.00219,                0.98784,                      1,                0.31995,               0.007624,               0.007624,               0.007624
                     14,                 0.0016,                0.99313,                      1,                0.31674,               0.007426,               0.007426,               0.007426
                     15,                0.00039,                0.99366,                      1,                0.31575,               0.007228,               0.007228,               0.007228
                     16,                0.00036,                0.98996,                      1,                0.31816,                0.00703,                0.00703,                0.00703
                     17,                0.00026,                0.99313,                      1,                0.31537,               0.006832,               0.006832,               0.006832
                     18,                0.00015,                0.99313,                      1,                0.31496,               0.006634,               0.006634,               0.006634
                     19,                0.00014,                0.99313,                      1,                0.31487,               0.006436,               0.006436,               0.006436
                     20,                  6e-05,                0.99313,                      1,                 0.3146,               0.006238,               0.006238,               0.006238
                     21,                  4e-05,                0.99419,                      1,                0.31433,                0.00604,                0.00604,                0.00604
                     22,                  3e-05,                0.99419,                      1,                 0.3145,               0.005842,               0.005842,               0.005842
                     23,                 0.0001,                0.99471,                      1,                0.31431,               0.005644,               0.005644,               0.005644
                     24,                  3e-05,                0.99419,                      1,                0.31433,               0.005446,               0.005446,               0.005446
                     25,                  3e-05,                0.99419,                      1,                0.31423,               0.005248,               0.005248,               0.005248
                     26,                  4e-05,                0.99366,                      1,                0.31418,                0.00505,                0.00505,                0.00505
                     27,                  3e-05,                0.99471,                      1,                0.31408,               0.004852,               0.004852,               0.004852
                     28,                  2e-05,                0.99419,                      1,                0.31417,               0.004654,               0.004654,               0.004654
                     29,                  2e-05,                0.99419,                      1,                0.31415,               0.004456,               0.004456,               0.004456
                     30,                  2e-05,                0.99524,                      1,                0.31409,               0.004258,               0.004258,               0.004258
                     31,                  4e-05,                0.99419,                      1,                0.31429,                0.00406,                0.00406,                0.00406
                     32,                  2e-05,                0.99419,                      1,                0.31424,               0.003862,               0.003862,               0.003862
                     33,                  2e-05,                0.99419,                      1,                  0.314,               0.003664,               0.003664,               0.003664
                     34,                  4e-05,                0.99471,                      1,                0.31399,               0.003466,               0.003466,               0.003466
                     35,                  2e-05,                0.99313,                      1,                0.31415,               0.003268,               0.003268,               0.003268
                     36,                  2e-05,                0.99471,                      1,                0.31401,                0.00307,                0.00307,                0.00307
                     37,                  2e-05,                0.99419,                      1,                0.31405,               0.002872,               0.002872,               0.002872
                     38,                  5e-05,                 0.9963,                      1,                0.31369,               0.002674,               0.002674,               0.002674
                     39,                  2e-05,                0.99419,                      1,                0.31375,               0.002476,               0.002476,               0.002476
                     40,                  3e-05,                0.99419,                      1,                0.31384,               0.002278,               0.002278,               0.002278
                     41,                  2e-05,                0.99419,                      1,                0.31405,                0.00208,                0.00208,                0.00208
                     42,                  2e-05,                0.99419,                      1,                0.31414,               0.001882,               0.001882,               0.001882
                     43,                  2e-05,                0.99419,                      1,                0.31409,               0.001684,               0.001684,               0.001684
                     44,                  3e-05,                0.99419,                      1,                0.31398,               0.001486,               0.001486,               0.001486
                     45,                  2e-05,                0.99419,                      1,                0.31401,               0.001288,               0.001288,               0.001288
                     46,                  2e-05,                0.99419,                      1,                0.31405,                0.00109,                0.00109,                0.00109
                     47,                  2e-05,                0.99419,                      1,                0.31408,               0.000892,               0.000892,               0.000892
                     48,                  2e-05,                0.99419,                      1,                0.31396,               0.000694,               0.000694,               0.000694
                     49,                  2e-05,                0.99419,                      1,                0.31409,               0.000496,               0.000496,               0.000496
