                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16853,                0.63902,                      1,                0.57192,                0.07025,              0.0033056,              0.0033056
                      1,                0.11141,                0.72927,                      1,                0.50619,               0.039593,              0.0059816,              0.0059816
                      2,                0.06039,                0.92683,                      1,                0.35259,              0.0082755,              0.0079977,              0.0079977
                      3,                0.03351,                0.96829,                      1,                0.32461,                0.00703,                0.00703,                0.00703
                      4,                0.02136,                0.97561,                      1,                 0.3138,                0.00703,                0.00703,                0.00703
                      5,                0.01415,                0.99024,                      1,                 0.3018,                0.00604,                0.00604,                0.00604
                      6,                0.01144,                0.97317,                      1,                0.31086,                0.00505,                0.00505,                0.00505
                      7,                0.00829,                0.99024,                      1,                0.29906,                0.00406,                0.00406,                0.00406
                      8,                0.00511,                0.99024,                      1,                0.29862,                0.00307,                0.00307,                0.00307
                      9,                0.00445,                0.98537,                      1,                0.29782,                0.00208,                0.00208,                0.00208
